X,Y,OBJECTID,METER_ID,LOCATION,SIDE_OF_STREET,BLOCKFACE,METER_STATUS,TOW_AWAY_HOURS,METER_TIME,HANDICAP,HOURS_OPERATION,IN_SERVICE,VALET_HOURS,RATE,FOOD_SERVICE_HOURS,TAXI_ZONE_HOURS,CHARGING_STATION,CHARGING_STATION_STATUS
-82.999087921563699,39.952545804826897,7523,B1,LIVINGSTON AVE W,South,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,5PM-12AM-TUES-SAT, $2.25,,,No,
-82.99937717100704,39.952675702182972,7610,B2,LIVINGSTON AVE W,North,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999162618149001,39.952552889540009,7522,B3,LIVINGSTON AVE W,South,FRONT ST - WALL ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999451861734173,39.952682599401072,7609,B4,LIVINGSTON AVE W,North,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.99923913318284,39.952559625119825,7521,B5,LIVINGSTON AVE W,South,FRONT ST - WALL ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999539897689601,39.952692672202986,7608,B6,LIVINGSTON AVE W,North,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999318006259131,39.952567002688518,7520,B7,LIVINGSTON AVE W,South,FRONT ST - WALL ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999620193641221,39.952695279047511,7607,B8,LIVINGSTON AVE W,North,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999400199073364,39.952574821805342,7519,B9,LIVINGSTON AVE W,South,FRONT ST - WALL ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999692056866763,39.952704268665656,7606,B10,LIVINGSTON AVE W,North,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.999483831990887,39.952583057140885,7518,B11,LIVINGSTON AVE W,South,HIGH ST - WALL ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
-82.99977610203797,39.95271431145288,7605,B12,LIVINGSTON AVE W,North,FRONT ST - HIGH ST,Operational,,180,0,8 AM - 10 PM,14,, $2.25,,,No,
