Pole,ParkingStartDate,ParkingEndDate,TransactionType,TotalCredit
SI83,1/1/2015 0:09,1/1/2015 0:09,Cash,0.5
UE255,1/1/2015 0:21,1/1/2015 0:21,Cash,0.75
EG6,1/1/2015 0:26,1/1/2015 0:26,Cash,0.05
EG6,1/1/2015 0:27,1/1/2015 0:27,Cash,0.05
UE242,1/1/2015 0:27,1/1/2015 0:27,Cash,0.25
B221,1/1/2015 0:45,1/1/2015 0:45,Cash,0.1
UE229,1/1/2015 0:51,1/1/2015 0:51,Cash,0.3
SG131,1/1/2015 1:03,1/1/2015 1:03,Cash,0.8
SG131,1/1/2015 1:03,1/1/2015 1:03,Cash,0.5
SO305,1/1/2015 1:22,1/1/2015 1:52,Cash,0.7
UW805,1/1/2015 1:29,1/1/2015 1:29,Cash,0.75
SO305,1/1/2015 1:44,1/1/2015 2:14,Cash,0.5
UE206,1/1/2015 1:46,1/1/2015 1:46,Cash,0.45
UE206,1/1/2015 1:46,1/1/2015 1:46,Cash,0.5
UE206,1/1/2015 1:47,1/1/2015 1:47,Cash,0.25
SO307,1/1/2015 1:50,1/1/2015 2:20,Cash,0.5
EK157,1/1/2015 2:01,1/1/2015 2:01,Cash,0.8
WAA50,1/1/2015 1:20,1/1/2015 1:20,Cash,0.75
WAA50,1/1/2015 1:45,1/1/2015 1:45,Cash,0.4
WAA50,1/1/2015 1:49,1/1/2015 1:49,Cash,0.1
SO307,1/1/2015 2:08,1/1/2015 2:38,Cash,1
EI122,1/1/2015 2:09,1/1/2015 2:09,Cash,0.25
UE287,1/1/2015 2:39,1/1/2015 2:39,Cash,1
UE287,1/1/2015 2:39,1/1/2015 2:39,Cash,0.25
WK50,1/1/2015 2:42,1/1/2015 2:42,Cash,0.75
WK50,1/1/2015 2:42,1/1/2015 2:42,Cash,0.25
SG6,1/1/2015 2:47,1/1/2015 2:47,Cash,0.25
UE206,1/1/2015 3:08,1/1/2015 3:08,Cash,0.25
UE204,1/1/2015 3:22,1/1/2015 3:22,Cash,0.25
