ParkingGeohash,AvgLatitude,AvgLongitude,City,County,State,Country,ISO_3166_2,AvgTimeToPark,AvgTimeToParkRatio,TotalSearching,PercentSearching,AvgUniqueGeohashes,AvgTotalGeohashes,CirclingDistribution,HourlyDistribution,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dphghs8,39.92722,-83.12149,Columbus,Franklin,Ohio,United States of America,US-OH,6.0181,1.1101,12,0.096,5.9167,8,"{""dphghs3"":0.1006, ""dphghkx"":0.0562, ""dphghs2"":0.1879, ""dphghs9"":0.1451, ""dphghkz"":0.0535, ""dphghs8"":0.4266, ""dphghkr"":0.0302}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.2, ""04"": 0.2, ""05"": 0.2, ""06"": 0.2, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0.5,0.5,2018-05-02,1.1
dphgvtg,40.06605,-83.0739,Columbus,Franklin,Ohio,United States of America,US-OH,3.4738,1.0164,14,0.2029,4.3571,6.3571,"{""dphgvtf"":0.0984, ""dphgvtd"":0.1785, ""dphgvw4"":0.04, ""dphgvts"":0.0509, ""dphgvtg"":0.3968, ""dphgvtu"":0.1764, ""dphgvte"":0.059}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.1429, ""04"": null, ""05"": 0.1429, ""06"": 0.1429, ""07"": 0.1429, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0.6429,0.3571,2018-05-02,1.1
dphgupj,40.07332,-83.13679,Columbus,Franklin,Ohio,United States of America,US-OH,4.0167,1.1655,13,0.0813,5.1538,7.3846,"{""dphgupn"":0.1154, ""dphgupj"":0.3818, ""dphgunu"":0.058, ""dphgupk"":0.0842, ""dphgupm"":0.2321, ""dphguph"":0.0953, ""dphgunv"":0.0332}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": 0.2, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": 0.2, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0.9231,0.0769,2018-05-02,1.1
dpj56ve,39.9775,-82.84371,Columbus,Franklin,Ohio,United States of America,US-OH,4.8716,3.4115,8,0.4211,4.25,6.5673,"{""dpj56ve"":0.172, ""dpj56vg"":0.2548, ""dpj56vf"":0.0628, ""dpj56vs"":0.0555, ""dpj56vd"":0.233, ""dpj56vu"":0.222}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.2, ""06"": 0.2, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.2, ""15"": null, ""16"": 0.2, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.125,0,0.125,0.625,0.125,2018-05-02,1.1
dpj5391,39.95306,-82.90108,Columbus,Franklin,Ohio,United States of America,US-OH,4.6896,1.0568,8,0.1667,4.375,8.875,"{""dpj5393"":0.0191, ""dpj5390"":0.0621, ""dpj5391"":0.4065, ""dpj5396"":0.1504, ""dpj5394"":0.1354, ""dpj5392"":0.2264}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": 0.2, ""08"": 0.2, ""09"": null, ""10"": 0.2, ""11"": 0.2, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0.875,0.125,2018-05-02,1.1
dphgm1f,39.95687,-83.09716,Columbus,Franklin,Ohio,United States of America,US-OH,2.9,1.2279,14,0.1707,4.7143,7,"{""dphgm1g"":0.1085, ""dphgm44"":0.1523, ""dphgm41"":0.0649, ""dphgm1e"":0.1091, ""dphgm19"":0.0901, ""dphgm1f"":0.3, ""dphgm1d"":0.1752}","{""00"": null, ""01"": null, ""02"": 0.2, ""03"": 0.2, ""04"": 0.2, ""05"": 0.2, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0.3571,0.6429,2018-05-02,1.1
dphgup7,40.07434,-83.13961,Columbus,Franklin,Ohio,United States of America,US-OH,3.3389,2.0977,9,0.5294,5,7.8889,"{""dphgups"":0.0296, ""dphgupk"":0.1662, ""dphgup5"":0.2132, ""dphguph"":0.064, ""dphgup7"":0.527}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.3333, ""12"": 0.3333, ""13"": 0.3333, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0.8889,0.1111,2018-05-02,1.1
dphgwcj,39.99642,-83.01616,Columbus,Franklin,Ohio,United States of America,US-OH,7.47,1.7766,5,0.122,4.4,7.4,"{""dphgwbv"":0.0288, ""dphgwcn"":0.3225, ""dphgwby"":0.1434, ""dphgwcj"":0.1527, ""dphgwbu"":0.1564, ""dphgwch"":0.1962}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.3333, ""08"": 0.3333, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.3333, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.2,0,0,0.2,0.6,2018-05-02,1.1
dpj55nh,39.93588,-82.83093,Columbus,Franklin,Ohio,United States of America,US-OH,5.8639,1.3526,6,0.1463,4.3333,7.1667,"{""dpj55nh"":0.2291, ""dpj55ju"":0.0918, ""dpj55n5"":0.0967, ""dpj55nk"":0.0699, ""dpj55n7"":0.2531, ""dpj55jg"":0.2595}","{""00"": null, ""01"": 0.1667, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1667, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": 0.3333, ""22"": null, ""23"": null}",0,0,0,0,0.1667,0.8333,2018-05-02,1.1
dpj4bzg,39.90218,-82.93074,Columbus,Franklin,Ohio,United States of America,US-OH,5.4069,1.3959,12,0.3636,4.3333,7.5833,"{""dpj50b4"":0, ""dpj50b5"":0.1483, ""dpj50bh"":0.0559, ""dpj4bzs"":0.0554, ""dpj4bzu"":0.3652, ""dpj4bzf"":0.0778, ""dpj4bzg"":0.2974}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": null, ""13"": 0.1429, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.1429, ""18"": 0.1429, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,1,0,2018-05-02,1.1
